Estimate; Total: 0.0
Estimate; Total: 0.0
Total; Estimate; Population 25 years and over - Associate's degree: 1.62098615886e-05
Total; Estimate; Population 35 to 44 years: 1.59712481212e-05
Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race): 1.59207599179e-05
Females; Estimate; Population 45 to 64 years - High school graduate or higher: 1.58641471648e-05
Males; Estimate; Hispanic or Latino Origin: 1.56323360638e-05
Males; Estimate; White alone, not Hispanic or Latino: 1.54953729179e-05
Females; Estimate; Black alone - Bachelor's degree or higher: 1.538751216e-05
Males; Estimate; Population 25 to 34 years - High school graduate or higher: 1.53682976929e-05
Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 1.53637600806e-05
Males; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 1.52524776388e-05
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 1.42889110921e-05
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other: 1.35854832583e-05
Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 1.35298436698e-05
Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 1.3112088238e-05
Males; Estimate; Hispanic or Latino Origin - High school graduate or higher: 1.28687370214e-05
Total; Estimate; Population 45 to 64 years - High school graduate or higher: 1.23889356759e-05
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 1.22846952488e-05
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families: 1.22808817078e-05
Total; Estimate; Asian alone: 1.22252195425e-05
Total; Estimate; Population 45 to 64 years: 1.212325965e-05
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other: 1.19476545677e-05
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 1.1398966412e-05
Total; Estimate; Black alone - High school graduate or higher: 1.13201313428e-05
Total; Estimate; Black alone - Bachelor's degree or higher: 1.12051762548e-05
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Some college or associate's degree: 1.11874955133e-05
Estimate; Total: - Native Hawaiian and Other Pacific Islander alone: 1.10669796822e-05
Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 1.08847907914e-05
Total; Estimate; Asian alone - High school graduate or higher: 1.0423340543e-05
Total; Estimate; Hispanic or Latino Origin - High school graduate or higher: 1.03016038674e-05
Males; Estimate; Population 25 years and over - Some college, no degree: 9.68333361428e-06
Total; Estimate; Population 25 years and over - High school graduate (includes equivalency): 9.57096116213e-06
Mean income (dollars); Estimate; Hispanic or Latino origin (of any race): 9.56617313836e-06
Males; Estimate; Asian alone - High school graduate or higher: 9.31627528564e-06
Total; Estimate; White alone, not Hispanic or Latino_data_./data/education.csv: 9.01113330476e-06
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers: 8.62676057341e-06
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker: 8.28073730191e-06
Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 8.2258192289e-06
Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 8.14530453165e-06
Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 8.13860772732e-06
Females; Estimate; Population 25 years and over: 7.92304921765e-06
Total; Estimate; Population 25 years and over - Some college, no degree: 7.87896596947e-06
Estimate; Total: - Two or more races:: 7.57481505741e-06
Total; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 7.30491520729e-06
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 7.05721331384e-06
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked: 7.04618240738e-06
Females; Estimate; Population 25 years and over - Some college, no degree: 6.78738556827e-06
Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 6.41799726376e-06
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers: 6.30748039139e-06
Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 6.28284759274e-06
Males; Estimate; Population 25 years and over: 6.24793401913e-06
Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 5.79122665386e-06
Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 5.33081716337e-06
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander: 5.32582020376e-06
Total; Estimate; Hispanic or Latino Origin: 5.01243069852e-06
Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 4.46495303948e-06
Males; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 4.10768567041e-06
Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race: 4.06189407205e-06
Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race: 3.76500313232e-06
Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other: 3.75430824829e-06
Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 3.51612468669e-06
Estimate; Total: - Black or African American alone: 3.15851205923e-06
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other: 2.68848769208e-06
Total; Estimate; Population 25 years and over: 2.57979290162e-06
Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races: 2.15597498575e-06
Total; Estimate; Population 18 to 24 years: 1.43259493654e-06
Estimate; Total: - Some other race alone: 1.42568952514e-06
Estimate; Total: - Asian alone: 1.04101209817e-06
Estimate; Total: - White alone: 8.25013964137e-07
Estimate; Total:: 7.78216227227e-07
Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked: 7.63547781095e-07
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families: 7.20541266738e-07
Total; Estimate; All households: 2.48531652699e-07
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population: 1.97900259221e-07
Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months: 0.0
Percent Females; Margin of Error; Population 25 years and over: 0.0
Percent Females; Margin of Error; Population 45 to 64 years: 0.0
Percent Males; Margin of Error; Two or more races: 0.0
Percent Females; Estimate; Native Hawaiian and Other Pacific Islander alone: 0.0
Percent Males; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency): 0.0
Percent Males; Estimate; Population 25 to 34 years: 0.0
Total; Margin of Error; All households - With Supplemental Security Income (SSI): 0.0
Percent Females; Margin of Error; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.0
Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0
Percent Males; Margin of Error; Population 25 to 34 years: 0.0
Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.0
Females; Margin of Error; Percent bachelor's degree or higher: 0.0
Percent Females; Estimate; Asian alone: 0.0
Percent; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.0
Percent Females; Margin of Error; Hispanic or Latino Origin: 0.0
Percent Females; Margin of Error; Population 18 to 24 years: 0.0
Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native: 0.0
Percent; Margin of Error; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.0
Percent; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings: 0.0
Percent; Estimate; White alone, not Hispanic or Latino: 0.0
Total; Margin of Error; All households - With cash public assistance income: 0.0
Percent Males; Margin of Error; White alone, not Hispanic or Latino: 0.0
Percent; Margin of Error; White alone, not Hispanic or Latino - High school graduate or higher: 0.0
Percent; Margin of Error; Population 25 to 34 years: 0.0
Percent Females; Margin of Error; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Bachelor's degree: 0.0
Percent; Estimate; Black alone: 0.0
Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0
Percent Females; Estimate; Population 65 years and over: 0.0
Percent Females; Estimate; Population 25 years and over: 0.0
Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races: 0.0
Percent Females; Estimate; Population 18 to 24 years: 0.0
Percent Females; Margin of Error; Population 65 years and over: 0.0
Males; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0
Percent Females; Margin of Error; Population 25 to 34 years: 0.0
Mean income (dollars); Estimate; PERCENT ALLOCATED - Family income in the past 12 months: 0.0
Percent Males; Estimate; Hispanic or Latino Origin: 0.0
Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.0
Percent Males; Estimate; White alone, not Hispanic or Latino: 0.0
Percent Females; Margin of Error; Black alone: 0.0
Percent Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.0
Percent; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Less than high school graduate: 0.0
Percent; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone: 0.0
Percent; Margin of Error; Hispanic or Latino Origin: 0.0
Total; Margin of Error; Percent bachelor's degree or higher: 0.0
Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander: 0.0
Percent Males; Estimate; Asian alone: 0.0
Percent Females; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - Graduate or professional degree: 0.0
